id,ident,type,name,latitude_deg,longitude_deg,num_hangars,runaway_length,runaway_width
6523,00A,heliport,Total Rf Heliport,40.07080078,-74.93360138,7,,
6524,00AK,small_airport,Lowell Field,59.94919968,-151.6959991,3,1137,6
6525,00AL,small_airport,Epps Airpark,34.8647995,-86.77030182,4,1346,6
6526,00AR,heliport,Newport Hospital & Clinic Heliport,35.6086998,-91.25489807,12,,
6527,00AZ,small_airport,Cordes Airport,34.30559921,-112.1650009,4,1163,7
6528,00CA,small_airport,Goldstone /Gts/ Airport,35.3504982,-116.8880005,2,1489,5
6529,00CO,small_airport,Cass Field,40.62220001,-104.3440018,4,1082,6
6531,00FA,small_airport,Grass Patch Airport,28.64550018,-82.21900177,2,1432,5
6532,00FD,heliport,Ringhaver Heliport,28.84659958,-82.34539795,6,,
6533,00FL,small_airport,River Oak Airport,27.23089981,-80.96920013,4,1120,6
6534,00GA,small_airport,Lt World Airport,33.76750183,-84.06829834,3,1151,5
6535,00GE,heliport,Caffrey Heliport,33.88420105,-84.73390198,8,,
6536,00HI,heliport,Kaupulehu Heliport,19.83250046,-155.9819946,7,,
6537,00ID,small_airport,Delta Shores Airport,48.14530182,-116.2139969,2,1487,6
6538,00II,heliport,Bailey Generation Station Heliport,41.64450073,-87.12280273,3,,
6539,00IL,small_airport,Hammer Airport,41.97840118,-89.56040192,2,1093,7
6540,00IN,heliport,St Mary Medical Center Heliport,41.51139832,-87.26059723,11,,
6541,00IS,small_airport,Hayenga's Cant Find Farms Airport,40.02560043,-89.12290192,4,1334,5
6542,00KS,small_airport,Hayden Farm Airport,38.72779846,-94.93049622,4,1415,7
6543,00KY,small_airport,Robbins Roost Airport,37.40940094,-84.61969757,3,1175,7
45437,00LA,heliport,Shell Chemical East Site Heliport,30.191944,-90.980833,11,,
6544,00LL,heliport,Ac & R Components Heliport,39.66529846,-89.70559692,7,,
6545,00LS,small_airport,Lejeune Airport,30.13629913,-92.42939758,3,1346,6
6546,00MD,small_airport,Slater Field,38.75709915,-75.75379944,2,1456,7
6547,00MI,heliport,Dow Chemical Heliport,43.94940186,-86.41670227,5,,
6548,00MN,small_airport,Battle Lake Municipal Airport,46.29999924,-95.70030212,3,1276,7
6549,00MO,small_airport,Cooper Flying Service Airport,37.20280075,-94.41239929,2,1224,5
6550,00MT,small_airport,Sands Ranch Airport,48.53749847,-109.7050018,4,1446,7
6551,00N,small_airport,Bucks Airport,39.47320175,-75.18520355,2,1165,6
6552,00NC,small_airport,North Raleigh Airport,36.08520126,-78.37139893,3,1155,6
6553,00NJ,heliport,Colgate-Piscataway Heliport,40.52090073,-74.47460175,11,,
6554,00NY,small_airport,Weiss Airfield,42.90010071,-77.49970245,4,1104,7
6555,00OH,small_airport,Exit 3 Airport,41.59090042,-84.14219666,4,1399,7
6556,00OI,heliport,Miami Valley Hospital Heliport,39.74530029,-84.18740082,9,,
6557,00OR,heliport,Steel Systems Heliport,44.93289948,-123.1299973,4,,
6558,00PA,heliport,R J D Heliport,39.94889832,-75.74690247,7,,
45773,00PN,small_airport,Ferrell Field,41.2995,-80.211111,3,1327,7
6559,00PS,small_airport,Thomas Field,40.37779999,-77.36530304,3,1156,7
6560,00S,small_airport,Mc Kenzie Bridge State Airport,44.18320084,-122.0889969,3,1123,7
6561,00SC,small_airport,Flying O Airport,34.00939941,-80.26719666,4,1064,7
6562,00TA,heliport,Sw Region Faa Heliport,32.82690048,-97.30580139,4,,
6563,00TE,heliport,Tcjc-Northeast Campus Heliport,32.84759903,-97.1894989,12,,
6564,00TN,small_airport,Ragsdale Road Airport,35.51589966,-85.95359802,3,1357,5
6565,00TS,small_airport,Alpine Range Airport,32.60760117,-97.24199677,3,1217,5
